project	study	category	file_path	notes_sex	notes_source_id	build	population	total_samples	total_cases	total_controls	trait_desc
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-595/ukb-a-595.gwaslab.tsv.gz	Males and Females	ukb-a-595	GRCh38	European	337199	1954	335245	Diagnoses - main ICD10: Z47 Other orthopaedic follow-up care
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-590/ukb-a-590.gwaslab.tsv.gz	Males and Females	ukb-a-590	GRCh38	European	337199	3284	333915	Diagnoses - main ICD10: S52 Fracture of forearm
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-67/ukb-a-67.gwaslab.tsv.gz	Males and Females	ukb-a-67	GRCh38	European	337159	1179	335980	Non-cancer illness code  self-reported: chronic obstructive airways disease/copd
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-571/ukb-a-571.gwaslab.tsv.gz	Males and Females	ukb-a-571	GRCh38	European	337199	673	336526	Diagnoses - main ICD10: M70 Soft tissue disorders related to use  overuse and pressure
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-97/ukb-a-97.gwaslab.tsv.gz	Males and Females	ukb-a-97	GRCh38	European	337159	1489	335670	Non-cancer illness code  self-reported: nasal polyps
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-70/ukb-a-70.gwaslab.tsv.gz	Males and Females	ukb-a-70	GRCh38	European	337159	14316	322843	Non-cancer illness code  self-reported: gastro-oesophageal reflux (gord) / gastric reflux
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-59/ukb-a-59.gwaslab.tsv.gz	Males and Females	ukb-a-59	GRCh38	European	337159	3156	334003	Cancer code  self-reported: basal cell carcinoma
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-99/ukb-a-99.gwaslab.tsv.gz	Males and Females	ukb-a-99	GRCh38	European	337159	8718	328441	Non-cancer illness code  self-reported: eczema/dermatitis
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-8/ukb-a-8.gwaslab.tsv.gz	Males and Females	ukb-a-8	GRCh38	European	306030			Drive faster than motorway speed limit
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-540/ukb-a-540.gwaslab.tsv.gz	Males and Females	ukb-a-540	GRCh38	European	337199	1992	335207	Diagnoses - main ICD10: J22 Unspecified acute lower respiratory infection
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-93/ukb-a-93.gwaslab.tsv.gz	Males and Females	ukb-a-93	GRCh38	European	337159	3043	334116	Non-cancer illness code  self-reported: allergy or anaphylactic reaction to drug
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-552/ukb-a-552.gwaslab.tsv.gz	Males and Females	ukb-a-552	GRCh38	European	337199	732	336467	Diagnoses - main ICD10: K50 Crohn's disease [regional enteritis]
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-64/ukb-a-64.gwaslab.tsv.gz	Males and Females	ukb-a-64	GRCh38	European	337159	2801	334358	Non-cancer illness code  self-reported: pulmonary embolism +/- dvt
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-545/ukb-a-545.gwaslab.tsv.gz	Males and Females	ukb-a-545	GRCh38	European	337199	7282	329917	Diagnoses - main ICD10: K21 Gastro-oesophageal reflux disease
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-65/ukb-a-65.gwaslab.tsv.gz	Males and Females	ukb-a-65	GRCh38	European	337159	6767	330392	Non-cancer illness code  self-reported: deep venous thrombosis (dvt)
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-539/ukb-a-539.gwaslab.tsv.gz	Males and Females	ukb-a-539	GRCh38	European	337199	8190	329009	Diagnoses - main ICD10: I84 Haemorrhoids
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-578/ukb-a-578.gwaslab.tsv.gz	Males and Females	ukb-a-578	GRCh38	European	337199	6882	330317	Diagnoses - main ICD10: N92 Excessive  frequent and irregular menstruation
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-549/ukb-a-549.gwaslab.tsv.gz	Males and Females	ukb-a-549	GRCh38	European	337199	8815	328384	Diagnoses - main ICD10: K40 Inguinal hernia
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-546/ukb-a-546.gwaslab.tsv.gz	Males and Females	ukb-a-546	GRCh38	European	337199	3460	333739	Diagnoses - main ICD10: K22 Other diseases of oesophagus
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-56/ukb-a-56.gwaslab.tsv.gz	Males and Females	ukb-a-56	GRCh38	European	337159	156	337003	Cancer code  self-reported: small intestine/small bowel cancer
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-92/ukb-a-92.gwaslab.tsv.gz	Males and Females	ukb-a-92	GRCh38	European	337159	1870	335289	Non-cancer illness code  self-reported: vaginal prolapse/uterine prolapse
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-582/ukb-a-582.gwaslab.tsv.gz	Males and Females	ukb-a-582	GRCh38	European	337199	14203	322996	Diagnoses - main ICD10: R10 Abdominal and pelvic pain
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-538/ukb-a-538.gwaslab.tsv.gz	Males and Females	ukb-a-538	GRCh38	European	337199	6958	330241	Diagnoses - main ICD10: I83 Varicose veins of lower extremities
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-75/ukb-a-75.gwaslab.tsv.gz	Males and Females	ukb-a-75	GRCh38	European	337159	2133	335026	Non-cancer illness code  self-reported: type 2 diabetes
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-551/ukb-a-551.gwaslab.tsv.gz	Males and Females	ukb-a-551	GRCh38	European	337199	5321	331878	Diagnoses - main ICD10: K44 Diaphragmatic hernia
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-96/ukb-a-96.gwaslab.tsv.gz	Males and Females	ukb-a-96	GRCh38	European	337159	2469	334690	Non-cancer illness code  self-reported: muscle or soft tissue injuries
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-87/ukb-a-87.gwaslab.tsv.gz	Males and Females	ukb-a-87	GRCh38	European	337159	5266	331893	Non-cancer illness code  self-reported: osteoporosis
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-553/ukb-a-553.gwaslab.tsv.gz	Males and Females	ukb-a-553	GRCh38	European	337199	1579	335620	Diagnoses - main ICD10: K51 Ulcerative colitis
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-83/ukb-a-83.gwaslab.tsv.gz	Males and Females	ukb-a-83	GRCh38	European	337159	902	336257	Non-cancer illness code  self-reported: mania/bipolar disorder/manic depression
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-78/ukb-a-78.gwaslab.tsv.gz	Males and Females	ukb-a-78	GRCh38	European	337159	10007	327152	Non-cancer illness code  self-reported: migraine
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-569/ukb-a-569.gwaslab.tsv.gz	Males and Females	ukb-a-569	GRCh38	European	337199	5660	331539	Diagnoses - main ICD10: M54 Dorsalgia
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-594/ukb-a-594.gwaslab.tsv.gz	Males and Females	ukb-a-594	GRCh38	European	337199	5162	332037	Diagnoses - main ICD10: Z09 Follow-up examination after treatment for conditions other than malignant neoplasms
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-548/ukb-a-548.gwaslab.tsv.gz	Males and Females	ukb-a-548	GRCh38	European	337199	1676	335523	Diagnoses - main ICD10: K35 Acute appendicitis
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-555/ukb-a-555.gwaslab.tsv.gz	Males and Females	ukb-a-555	GRCh38	European	337199	6865	330334	Diagnoses - main ICD10: K57 Diverticular disease of intestine
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-558/ukb-a-558.gwaslab.tsv.gz	Males and Females	ukb-a-558	GRCh38	European	337199	356	336843	Diagnoses - main ICD10: K76 Other diseases of liver
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-537/ukb-a-537.gwaslab.tsv.gz	Males and Females	ukb-a-537	GRCh38	European	337199	1613	335586	Diagnoses - main ICD10: I80 Phlebitis and thrombophlebitis
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-570/ukb-a-570.gwaslab.tsv.gz	Males and Females	ukb-a-570	GRCh38	European	337199	1787	335412	Diagnoses - main ICD10: M67 Other disorders of synovium and tendon
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-547/ukb-a-547.gwaslab.tsv.gz	Males and Females	ukb-a-547	GRCh38	European	337199	8080	329119	Diagnoses - main ICD10: K29 Gastritis and duodenitis
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-586/ukb-a-586.gwaslab.tsv.gz	Males and Females	ukb-a-586	GRCh38	European	337199	1349	335850	Diagnoses - main ICD10: R35 Polyuria
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-565/ukb-a-565.gwaslab.tsv.gz	Males and Females	ukb-a-565	GRCh38	European	337199	379	336820	Diagnoses - main ICD10: M21 Other acquired deformities of limbs
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-95/ukb-a-95.gwaslab.tsv.gz	Males and Females	ukb-a-95	GRCh38	European	337159	4609	332550	Non-cancer illness code  self-reported: enlarged prostate
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-592/ukb-a-592.gwaslab.tsv.gz	Males and Females	ukb-a-592	GRCh38	European	337199	154	337045	Diagnoses - main ICD10: S76 Injury of muscle and tendon at hip and thigh level
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-562/ukb-a-562.gwaslab.tsv.gz	Males and Females	ukb-a-562	GRCh38	European	337199	4934	332265	Diagnoses - main ICD10: M16 Coxarthrosis [arthrosis of hip]
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-69/ukb-a-69.gwaslab.tsv.gz	Males and Females	ukb-a-69	GRCh38	European	337159	1064	336095	Non-cancer illness code  self-reported: sleep apnoea
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-54/ukb-a-54.gwaslab.tsv.gz	Males and Females	ukb-a-54	GRCh38	European	337159	190	336969	Cancer code  self-reported: lung cancer
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-593/ukb-a-593.gwaslab.tsv.gz	Males and Females	ukb-a-593	GRCh38	European	337199	2053	335146	Diagnoses - main ICD10: T84 Complications of internal orthopaedic prosthetic devices  implants and grafts
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-544/ukb-a-544.gwaslab.tsv.gz	Males and Females	ukb-a-544	GRCh38	European	337199	3369	333830	Diagnoses - main ICD10: K20 Oesophagitis
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-573/ukb-a-573.gwaslab.tsv.gz	Males and Females	ukb-a-573	GRCh38	European	337199	126	337073	Diagnoses - main ICD10: N19 Unspecified renal failure
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-76/ukb-a-76.gwaslab.tsv.gz	Males and Females	ukb-a-76	GRCh38	European	337159	2547	334612	Non-cancer illness code  self-reported: hyperthyroidism/thyrotoxicosis
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-94/ukb-a-94.gwaslab.tsv.gz	Males and Females	ukb-a-94	GRCh38	European	337159	19320	317839	Non-cancer illness code  self-reported: hayfever/allergic rhinitis
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-542/ukb-a-542.gwaslab.tsv.gz	Males and Females	ukb-a-542	GRCh38	European	337199	3433	333766	Diagnoses - main ICD10: J34 Other disorders of nose and nasal sinuses
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-85/ukb-a-85.gwaslab.tsv.gz	Males and Females	ukb-a-85	GRCh38	European	337159	5901	331258	Non-cancer illness code  self-reported: back problem
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-589/ukb-a-589.gwaslab.tsv.gz	Males and Females	ukb-a-589	GRCh38	European	337199	932	336267	Diagnoses - main ICD10: S09 Other and unspecified injuries of head
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-536/ukb-a-536.gwaslab.tsv.gz	Males and Females	ukb-a-536	GRCh38	European	337199	3818	333381	Diagnoses - main ICD10: I48 Atrial fibrillation and flutter
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-574/ukb-a-574.gwaslab.tsv.gz	Males and Females	ukb-a-574	GRCh38	European	337199	2427	334772	Diagnoses - main ICD10: N20 Calculus of kidney and ureter
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-90/ukb-a-90.gwaslab.tsv.gz	Males and Females	ukb-a-90	GRCh38	European	337159	1020	336139	Non-cancer illness code  self-reported: pernicious anaemia
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-583/ukb-a-583.gwaslab.tsv.gz	Males and Females	ukb-a-583	GRCh38	European	337199	1365	335834	Diagnoses - main ICD10: R11 Nausea and vomiting
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-60/ukb-a-60.gwaslab.tsv.gz	Males and Females	ukb-a-60	GRCh38	European	337159	404	336755	Cancer code  self-reported: squamous cell carcinoma
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-556/ukb-a-556.gwaslab.tsv.gz	Males and Females	ukb-a-556	GRCh38	European	337199	1578	335621	Diagnoses - main ICD10: K60 Fissure and fistula of anal and rectal regions
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-55/ukb-a-55.gwaslab.tsv.gz	Males and Females	ukb-a-55	GRCh38	European	337159	7480	329679	Cancer code  self-reported: breast cancer
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-568/ukb-a-568.gwaslab.tsv.gz	Males and Females	ukb-a-568	GRCh38	European	337199	4908	332291	Diagnoses - main ICD10: M25 Other joint disorders  not elsewhere classified
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-563/ukb-a-563.gwaslab.tsv.gz	Males and Females	ukb-a-563	GRCh38	European	337199	6560	330639	Diagnoses - main ICD10: M17 Gonarthrosis [arthrosis of knee]
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-66/ukb-a-66.gwaslab.tsv.gz	Males and Females	ukb-a-66	GRCh38	European	337159	39049	298110	Non-cancer illness code  self-reported: asthma
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-557/ukb-a-557.gwaslab.tsv.gz	Males and Females	ukb-a-557	GRCh38	European	337199	9853	327346	Diagnoses - main ICD10: K62 Other diseases of anus and rectum
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-86/ukb-a-86.gwaslab.tsv.gz	Males and Females	ukb-a-86	GRCh38	European	337159	1621	335538	Non-cancer illness code  self-reported: joint disorder
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-61/ukb-a-61.gwaslab.tsv.gz	Males and Females	ukb-a-61	GRCh38	European	337159	87690	249469	Non-cancer illness code  self-reported: hypertension
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-73/ukb-a-73.gwaslab.tsv.gz	Males and Females	ukb-a-73	GRCh38	European	337159	2006	335153	Non-cancer illness code  self-reported: bladder problem (not cancer)
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-567/ukb-a-567.gwaslab.tsv.gz	Males and Females	ukb-a-567	GRCh38	European	337199	838	336361	Diagnoses - main ICD10: M24 Other specific joint derangements
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-62/ukb-a-62.gwaslab.tsv.gz	Males and Females	ukb-a-62	GRCh38	European	337159	10612	326547	Non-cancer illness code  self-reported: angina
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-88/ukb-a-88.gwaslab.tsv.gz	Males and Females	ukb-a-88	GRCh38	European	337159	968	336191	Non-cancer illness code  self-reported: ankylosing spondylitis
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-561/ukb-a-561.gwaslab.tsv.gz	Males and Females	ukb-a-561	GRCh38	European	337199	181	337018	Diagnoses - main ICD10: M10 Gout
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-71/ukb-a-71.gwaslab.tsv.gz	Males and Females	ukb-a-71	GRCh38	European	337159	5573	331586	Non-cancer illness code  self-reported: cholelithiasis/gall stones
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-587/ukb-a-587.gwaslab.tsv.gz	Males and Females	ukb-a-587	GRCh38	European	337199	3057	334142	Diagnoses - main ICD10: R55 Syncope and collapse
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-541/ukb-a-541.gwaslab.tsv.gz	Males and Females	ukb-a-541	GRCh38	European	337199	1637	335562	Diagnoses - main ICD10: J33 Nasal polyp
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-68/ukb-a-68.gwaslab.tsv.gz	Males and Females	ukb-a-68	GRCh38	European	337159	4573	332586	Non-cancer illness code  self-reported: emphysema/chronic bronchitis
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-63/ukb-a-63.gwaslab.tsv.gz	Males and Females	ukb-a-63	GRCh38	European	337159	7735	329424	Non-cancer illness code  self-reported: heart attack/myocardial infarction
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-576/ukb-a-576.gwaslab.tsv.gz	Males and Females	ukb-a-576	GRCh38	European	337199	3140	334059	Diagnoses - main ICD10: N40 Hyperplasia of prostate
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-57/ukb-a-57.gwaslab.tsv.gz	Males and Females	ukb-a-57	GRCh38	European	337159	2495	334664	Cancer code  self-reported: prostate cancer
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-585/ukb-a-585.gwaslab.tsv.gz	Males and Females	ukb-a-585	GRCh38	European	337199	7363	329836	Diagnoses - main ICD10: R31 Unspecified haematuria
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-77/ukb-a-77.gwaslab.tsv.gz	Males and Females	ukb-a-77	GRCh38	European	337159	16376	320783	Non-cancer illness code  self-reported: hypothyroidism/myxoedema
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-7/ukb-a-7.gwaslab.tsv.gz	Males and Females	ukb-a-7	GRCh38	European	224813			Time spent driving
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-560/ukb-a-560.gwaslab.tsv.gz	Males and Females	ukb-a-560	GRCh38	European	337199	2777	334422	Diagnoses - main ICD10: L03 Cellulitis
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-82/ukb-a-82.gwaslab.tsv.gz	Males and Females	ukb-a-82	GRCh38	European	337159	4611	332548	Non-cancer illness code  self-reported: anxiety/panic attacks
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-98/ukb-a-98.gwaslab.tsv.gz	Males and Females	ukb-a-98	GRCh38	European	337159	118	337041	Non-cancer illness code  self-reported: hypopituitarism
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-9/ukb-a-9.gwaslab.tsv.gz	Males and Females	ukb-a-9	GRCh38	European	335410			Sleep duration
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-575/ukb-a-575.gwaslab.tsv.gz	Males and Females	ukb-a-575	GRCh38	European	337199	2749	334450	Diagnoses - main ICD10: N32 Other disorders of bladder
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-588/ukb-a-588.gwaslab.tsv.gz	Males and Females	ukb-a-588	GRCh38	European	337199	6717	330482	Diagnoses - main ICD10: R69 Unknown and unspecified causes of morbidity
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-6/ukb-a-6.gwaslab.tsv.gz	Males and Females	ukb-a-6	GRCh38	European	261987			Time spent using computer
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-596/ukb-a-596.gwaslab.tsv.gz	Males and Females	ukb-a-596	GRCh38	European	337199	326	336873	Diagnoses - main ICD10: Z80 Family history of malignant neoplasm
